index,hatespeech,predicted_counterspeech,csType,relevance_score_a1,relevance_score_a2,relevance_score_a3,coherence_score_a1,coherence_score_a2,coherence_score_a3,aggressiveness_score_a1,aggressiveness_score_a2,aggressiveness_score_a3,suitableness_score_a1,suitableness_score_a2,suitableness_score_a3,suitableness_score,relevance_score,coherence_score,aggressiveness_score
0,Mentally disabled folks are messed up.,Can you provide evidence to support the claim that all muslims are violent? is it fair to generalize an entire religious group based on the actions of a few individuals?,Questioning,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.3333333333333333
1,LGBT+ people are a burden to society.,Why do you think so? what evidence supports your claim that all gay people are dangerous?,Questioning,3.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,1.6666666666666667,2.333333333333333,2.6666666666666665,2.0
2,"Feminism is about the destruction of manhood, and the disempowerment of white man.","Feminists are advocates for gender equality, not destruction of male gender. promoting inclusivity and empowering all genders is essential for a fair and just society.",Denouncing,4.0,5.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,4.333333333333333,4.0,1.0
3,homosexuality is a mental illness that can be cured link,"Homosexuality can be found in all types of people, regardless of sexual orientation.",Positive,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.6666666666666667,1.0,1.0
4,"The Gypsies are not my brothers, they are just a bunch of whining pussies.",Why do you think it is acceptable to discriminate against people based on their sexual orientation?,Questioning,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,Muslims have no place in civilised Europe. They have nothing to contribute to our society.,"Muslims have been an integral part of european history for centuries, contributing significantly to its rich cultural heritage, economy, and social fabric. they have played a vital role in shaping europe's history and culture. they are doctors, engineers, artists, and entrepreneurs who enrich our societies with their diverse perspectives, skills, and contributions. it is unfair and inaccurate to generalize and blame an entire religious group for the actions of a few individuals. europe has a rich history of cultural exchange, promoting unity and understanding. let's focus on building bridges and fostering dialogue rather than perpetuating stereotypes.",Informative,5.0,5.0,5.0,5.0,4.0,5.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,5.0,4.666666666666667,1.0
6,Islam is a religion of violence.,"I understand that you may have concerns about islam, but it's important to remember that generalizations can be misleading. islam is a diverse religion, encompassing a wide range of beliefs and practices. it's unfair to label an entire religion based on the actions of a few individuals. let's focus on promoting understanding and dialogue instead of perpetuating stereotypes. if you have any questions or would like to learn more about isislam, i'm here to help! let's spread peace and harmony together!",Positive,4.0,4.0,4.0,4.0,3.0,4.0,1.0,1.0,1.0,3.0,2.0,2.0,2.333333333333333,4.0,3.6666666666666665,1.0
7,Islam is a totalitarian ideology that denies women their rights and promotes rape.,"It is essential to recognize that islam, like any other religion, promotes peace, respect, and equality for all individuals, regardless of gender.",Denouncing,3.0,3.0,2.0,3.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.6666666666666665,2.6666666666666665,1.0
8,"Immigrants are a burden to the host country, they arent welcome here.",Why do you think immigrants are a problem? what about the positive contributions they bring to our country?,Questioning,5.0,5.0,5.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,2.333333333333333,5.0,3.333333333333333,2.6666666666666665
9,Jews are and should be isolated from society.,What evidence supports the claim that jews are inherently violent and have no place in a modern democratic state?,Questioning,3.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.333333333333333,1.0,1.3333333333333333
